,asset,date,count
108,LUNA,2022-01-26,121
109,LUNA,2022-01-27,125
110,LUNA,2022-01-28,129
111,LUNA,2022-01-29,139
112,LUNA,2022-01-30,144
113,LUNA,2022-01-31,146
114,LUNA,2022-02-01,153
115,LUNA,2022-02-02,158
116,LUNA,2022-02-03,161
117,LUNA,2022-02-04,166
118,LUNA,2022-02-06,176
119,LUNA,2022-02-07,178
120,LUNA,2022-02-08,183
121,LUNA,2022-02-09,190
122,LUNA,2022-02-10,197
123,LUNA,2022-02-11,205
124,LUNA,2022-02-12,210
125,LUNA,2022-02-13,212
126,LUNA,2022-02-14,222
127,LUNA,2022-02-15,232
128,LUNA,2022-02-16,238
129,LUNA,2022-02-17,256
130,LUNA,2022-02-18,266
131,LUNA,2022-02-19,268
132,LUNA,2022-02-20,273
133,LUNA,2022-02-21,278
134,LUNA,2022-02-22,286
135,LUNA,2022-02-23,297
136,LUNA,2022-02-24,314
137,LUNA,2022-02-25,323
138,LUNA,2022-02-26,326
139,LUNA,2022-02-27,328
140,LUNA,2022-02-28,331
141,LUNA,2022-03-01,339
142,LUNA,2022-03-02,351
143,LUNA,2022-03-03,368
144,LUNA,2022-03-04,375
145,LUNA,2022-03-05,382
146,LUNA,2022-03-06,393
147,LUNA,2022-03-07,398
148,LUNA,2022-03-08,400
149,LUNA,2022-03-09,404
150,LUNA,2022-03-10,411
151,LUNA,2022-03-11,418
152,LUNA,2022-03-12,419
153,LUNA,2022-03-13,422
154,LUNA,2022-03-14,427
155,LUNA,2022-03-15,432
156,LUNA,2022-03-16,436
157,MNGO,2021-12-28,29
158,MNGO,2021-12-29,44
159,MNGO,2021-12-30,59
160,MNGO,2021-12-31,65
161,MNGO,2022-01-01,73
162,MNGO,2022-01-02,76
163,MNGO,2022-01-03,79
164,MNGO,2022-01-04,82
165,MNGO,2022-01-05,84
166,MNGO,2022-01-06,88
167,MNGO,2022-01-07,89
168,MNGO,2022-01-08,93
169,MNGO,2022-01-09,98
170,MNGO,2022-01-10,106
171,MNGO,2022-01-11,109
172,MNGO,2022-01-12,111
173,MNGO,2022-01-13,112
174,MNGO,2022-01-14,115
175,MNGO,2022-01-15,116
176,MNGO,2022-01-16,117
177,MNGO,2022-01-17,123
178,MNGO,2022-01-18,124
179,MNGO,2022-01-19,126
180,MNGO,2022-01-20,128
181,MNGO,2022-01-21,129
182,MNGO,2022-01-25,132
183,MNGO,2022-01-26,134
184,MNGO,2022-01-27,135
185,MNGO,2022-01-28,137
186,MNGO,2022-01-30,138
187,MNGO,2022-02-03,139
188,MNGO,2022-02-05,151
189,MNGO,2022-02-06,163
190,MNGO,2022-02-07,170
191,MNGO,2022-02-08,177
192,MNGO,2022-02-09,185
193,MNGO,2022-02-10,204
194,MNGO,2022-02-11,226
195,MNGO,2022-02-13,230
196,MNGO,2022-02-14,234
197,MNGO,2022-02-15,238
198,MNGO,2022-02-16,250
199,MNGO,2022-02-17,263
200,MNGO,2022-02-18,270
201,MNGO,2022-02-21,271
202,MNGO,2022-02-22,272
203,MNGO,2022-02-23,273
204,MNGO,2022-02-25,276
205,MNGO,2022-02-26,277
206,MNGO,2022-02-28,279
207,MNGO,2022-03-03,280
208,MNGO,2022-03-04,281
209,MNGO,2022-03-06,282
210,SOL,2021-12-28,81
211,SOL,2021-12-29,161
212,SOL,2021-12-30,236
213,SOL,2021-12-31,304
214,SOL,2022-01-01,388
215,SOL,2022-01-02,535
216,SOL,2022-01-03,644
217,SOL,2022-01-04,753
218,SOL,2022-01-05,815
219,SOL,2022-01-06,861
220,SOL,2022-01-07,900
221,SOL,2022-01-08,901
222,SOL,2022-01-10,911
223,SOL,2022-01-11,956
224,SOL,2022-01-12,1015
225,SOL,2022-01-13,1064
226,SOL,2022-01-14,1126
227,SOL,2022-01-15,1171
228,SOL,2022-01-16,1222
229,SOL,2022-01-17,1263
230,SOL,2022-01-18,1308
231,SOL,2022-01-19,1353
232,SOL,2022-01-20,1396
233,SOL,2022-01-21,1442
234,SOL,2022-01-22,1458
235,SOL,2022-01-23,1477
236,SOL,2022-01-24,1538
237,SOL,2022-01-25,1713
238,SOL,2022-01-26,1769
239,SOL,2022-01-27,1824
240,SOL,2022-01-28,1863
241,SOL,2022-01-29,1881
242,SOL,2022-01-30,1911
243,SOL,2022-01-31,1929
244,SOL,2022-02-01,1948
245,SOL,2022-02-02,1979
246,SOL,2022-02-03,1996
247,SOL,2022-02-04,2031
248,SOL,2022-02-05,2043
249,SOL,2022-02-06,2059
250,SOL,2022-02-07,2074
251,SOL,2022-02-08,2086
252,SOL,2022-02-09,2099
253,SOL,2022-02-10,2113
254,SOL,2022-02-11,2125
255,SOL,2022-02-12,2138
256,SOL,2022-02-13,2146
257,SOL,2022-02-14,2157
258,SOL,2022-02-15,2165
259,SOL,2022-02-16,2171
260,SOL,2022-02-17,2180
261,SOL,2022-02-18,2189
262,SOL,2022-02-19,2196
263,SOL,2022-02-20,2199
264,SOL,2022-02-21,2202
265,SOL,2022-02-22,2209
266,SOL,2022-02-23,2213
267,SOL,2022-02-24,2218
268,SOL,2022-02-25,2228
269,SOL,2022-02-26,2232
270,SOL,2022-02-27,2234
271,SOL,2022-02-28,2237
272,SOL,2022-03-01,2240
273,SOL,2022-03-02,2246
274,SOL,2022-03-03,2256
275,SOL,2022-03-04,2264
276,SOL,2022-03-05,2267
277,SOL,2022-03-06,2287
278,SOL,2022-03-07,2290
279,SOL,2022-03-08,2293
280,SOL,2022-03-09,2294
281,SOL,2022-03-10,2297
282,SOL,2022-03-11,2301
283,SOL,2022-03-12,2306
284,SOL,2022-03-13,2307
285,SOL,2022-03-14,2312
286,SOL,2022-03-15,2319
287,SOL,2022-03-16,2321
288,SOL (tsUSDC),2022-02-02,1
289,SOL (tsUSDC),2022-02-05,25
290,SOL (tsUSDC),2022-02-06,52
291,SOL (tsUSDC),2022-02-07,58
292,SOL (tsUSDC),2022-02-08,72
293,SOL (tsUSDC),2022-02-09,80
294,SOL (tsUSDC),2022-02-10,88
295,SOL (tsUSDC),2022-02-11,93
296,SOL (tsUSDC),2022-02-12,96
297,SOL (tsUSDC),2022-02-13,99
298,SOL (tsUSDC),2022-02-14,100
299,SOL (tsUSDC),2022-02-15,102
300,SOL (tsUSDC),2022-02-16,105
301,SOL (tsUSDC),2022-02-17,109
302,SOL (tsUSDC),2022-02-18,111
303,SOL (tsUSDC),2022-02-20,113
304,SOL (tsUSDC),2022-02-21,114
305,SOL (tsUSDC),2022-02-22,115
306,SOL (tsUSDC),2022-02-25,118
307,SOL (tsUSDC),2022-02-28,119
308,SOL (tsUSDC),2022-03-01,120
309,SOL (tsUSDC),2022-03-02,123
310,SOL (tsUSDC),2022-03-04,124
311,SOL (tsUSDC),2022-03-07,125
312,SOL (tsUSDC),2022-03-08,126
313,SOL (tsUSDC),2022-03-10,127
314,SOL (tsUSDC),2022-03-11,128
315,SOL (tsUSDC),2022-03-12,129
316,SOL (tsUSDC),2022-03-16,131
