,asset,date,count
0,BTC,2021-12-28,35
1,BTC,2021-12-29,57
2,BTC,2021-12-30,74
3,BTC,2021-12-31,94
4,BTC,2022-01-01,95
5,BTC,2022-01-03,97
6,BTC,2022-01-04,98
7,BTC,2022-01-05,99
8,BTC,2022-01-07,101
9,BTC,2022-01-08,104
10,BTC,2022-01-09,111
11,BTC,2022-01-12,113
12,BTC,2022-01-13,118
13,BTC,2022-01-14,120
14,BTC,2022-01-15,121
15,BTC,2022-01-17,130
16,BTC,2022-01-18,132
17,BTC,2022-01-19,134
18,BTC,2022-01-21,137
19,BTC,2022-01-22,139
20,BTC,2022-01-23,140
21,BTC,2022-01-25,143
22,BTC,2022-01-26,144
23,BTC,2022-01-28,145
24,BTC,2022-01-29,146
25,BTC,2022-01-30,151
26,BTC,2022-01-31,153
27,BTC,2022-02-03,157
28,BTC,2022-02-04,161
29,BTC,2022-02-05,162
30,BTC,2022-02-07,163
31,BTC,2022-02-08,165
32,BTC,2022-02-11,167
33,BTC,2022-02-12,168
34,BTC,2022-02-13,169
35,BTC,2022-02-14,170
36,BTC,2022-02-15,171
37,BTC,2022-02-16,172
38,BTC,2022-02-17,176
39,BTC,2022-02-18,178
40,BTC,2022-02-19,179
41,BTC,2022-02-21,182
42,BTC,2022-02-22,183
43,BTC,2022-02-25,185
44,BTC,2022-02-26,187
45,BTC,2022-02-27,189
46,BTC,2022-02-28,192
47,BTC,2022-03-01,193
48,BTC,2022-03-02,196
49,BTC,2022-03-03,201
50,BTC,2022-03-04,202
51,BTC,2022-03-05,205
52,BTC,2022-03-06,212
53,BTC,2022-03-07,213
54,BTC,2022-03-08,214
55,BTC,2022-03-09,216
56,BTC,2022-03-10,218
57,BTC,2022-03-11,220
58,BTC,2022-03-12,221
59,BTC,2022-03-13,222
60,BTC,2022-03-14,223
61,ETH,2022-01-30,17
62,ETH,2022-01-31,26
63,ETH,2022-02-01,31
64,ETH,2022-02-02,39
65,ETH,2022-02-03,45
66,ETH,2022-02-04,54
67,ETH,2022-02-05,55
68,ETH,2022-02-06,56
69,ETH,2022-02-07,59
70,ETH,2022-02-08,60
71,ETH,2022-02-09,62
72,ETH,2022-02-10,63
73,ETH,2022-02-11,66
74,ETH,2022-02-12,68
75,ETH,2022-02-13,70
76,ETH,2022-02-14,73
77,ETH,2022-02-15,74
78,ETH,2022-02-16,75
79,ETH,2022-02-17,77
80,ETH,2022-02-18,83
81,ETH,2022-02-20,84
82,ETH,2022-02-23,85
83,ETH,2022-02-25,88
84,ETH,2022-02-26,89
85,ETH,2022-02-27,90
86,ETH,2022-02-28,92
87,ETH,2022-03-01,94
88,ETH,2022-03-02,95
89,ETH,2022-03-03,98
90,ETH,2022-03-04,101
91,ETH,2022-03-06,106
92,ETH,2022-03-07,107
93,ETH,2022-03-10,109
94,ETH,2022-03-11,113
95,ETH,2022-03-12,114
96,ETH,2022-03-15,115
97,ETH,2022-03-16,118
98,LUNA,2022-01-16,30
99,LUNA,2022-01-17,55
100,LUNA,2022-01-18,67
101,LUNA,2022-01-19,79
102,LUNA,2022-01-20,88
103,LUNA,2022-01-21,102
104,LUNA,2022-01-22,105
105,LUNA,2022-01-23,108
106,LUNA,2022-01-24,111
107,LUNA,2022-01-25,117
