,asset,amount,count,tx_size
0,BTC,15514.287852643565,223,15514.287852643565
1,ETH,6820.363140475728,118,6820.363140475728
2,LUNA,6196.69730987963,436,6196.69730987963
3,MNGO,5080.69946051004,282,5080.69946051004
4,SOL,11396.09785984869,2321,11396.09785984869
5,SOL (tsUSDC),37853.46974284615,131,37853.46974284615
