,amount,symbol,cash,date,signer,receiver,asset
1621,36.924097,USDC,USDC,2022-02-11T08:50:32Z,CeZidHZJw87ce5PtboGXWuKJwLSYPKkRxtZRHrCSAvKk,CeZidHZJw87ce5PtboGXWuKJwLSYPKkRxtZRHrCSAvKk,MNGO
1622,110.758169,USDC,USDC,2022-02-11T09:09:19Z,FZYGPZyb8byRFNegWzbUo8cgNkBfzpeudf8bAxbD36Cf,FZYGPZyb8byRFNegWzbUo8cgNkBfzpeudf8bAxbD36Cf,SOL
1623,187.439489,USDC,USDC,2022-02-11T09:12:43Z,5daJyxPDty3KcwmLCuzcK38Q3Qjegzphs4CAjVun8RW7,5daJyxPDty3KcwmLCuzcK38Q3Qjegzphs4CAjVun8RW7,SOL
1624,6151.540181,USDC,USDC,2022-02-11T09:13:31Z,5Gqp58LHGqTVP79jKhzAt7ebJgs8G2oC2RNK2jzPmG5W,5Gqp58LHGqTVP79jKhzAt7ebJgs8G2oC2RNK2jzPmG5W,SOL
1625,4987.663049,USDC,USDC,2022-02-11T09:14:14Z,9WkgtD3PUWeU9HAK3frtsmgTuzNs6hXPBL8DcKWsNkky,9WkgtD3PUWeU9HAK3frtsmgTuzNs6hXPBL8DcKWsNkky,SOL
1626,21719.814334,USDC,USDC,2022-02-11T09:20:43Z,A6H48c775KFso9iV6PTQEec1yVbzHQcWgdFersvMqN2E,A6H48c775KFso9iV6PTQEec1yVbzHQcWgdFersvMqN2E,SOL
1627,269935.380061,USDC,USDC,2022-02-11T09:24:15Z,EQgRPTGGJpYUHhbeTmLu93t42AAEy78hf8YK1TpBbNMK,EQgRPTGGJpYUHhbeTmLu93t42AAEy78hf8YK1TpBbNMK,SOL
1628,1502.273382,USDC,USDC,2022-02-11T09:25:17Z,HqPh7NEXRfsCkpPwrGzCFFqC2BKQ4vwgnuSM9f5WV1Jw,HqPh7NEXRfsCkpPwrGzCFFqC2BKQ4vwgnuSM9f5WV1Jw,SOL
1629,497.977873,USDC,USDC,2022-02-11T09:39:15Z,D3yaAXitJhiW2eVm21iySXQgh66vgnm3WJfM812Wek8p,D3yaAXitJhiW2eVm21iySXQgh66vgnm3WJfM812Wek8p,MNGO
1630,1874.394893,USDC,USDC,2022-02-11T09:42:58Z,GCuqskvjzqZayiEuc7rqS2vF7cYqSB5G9bfMeFsRvirf,GCuqskvjzqZayiEuc7rqS2vF7cYqSB5G9bfMeFsRvirf,SOL
1631,391.184858,USDC,USDC,2022-02-11T10:09:44Z,F5tXfKPLJGdjpXLWi52Vsd8oHuLWMSvwMtWueYP37ke1,F5tXfKPLJGdjpXLWi52Vsd8oHuLWMSvwMtWueYP37ke1,SOL
1632,1572.350818,USDC,USDC,2022-02-11T10:17:29Z,eLNe9RHsuAMgxtWkyaBQBkY7t1ckLs9FsGvjfEY1JWy,eLNe9RHsuAMgxtWkyaBQBkY7t1ckLs9FsGvjfEY1JWy,SOL
1633,151.03391,USDC,USDC,2022-02-11T10:40:54Z,2SNV9Q6vzQP5XxxqSrwXpQdRvk45FPiqLXmhNZzbLt1k,2SNV9Q6vzQP5XxxqSrwXpQdRvk45FPiqLXmhNZzbLt1k,SOL
1634,262.136963,USDC,USDC,2022-02-11T10:43:08Z,FGmS8wiCUXGSeu8hCUj6wQZpZuPZZACikq9GEfLeoH5Z,FGmS8wiCUXGSeu8hCUj6wQZpZuPZZACikq9GEfLeoH5Z,SOL
1635,95842.033761,USDC,USDC,2022-02-11T11:00:55Z,46NAjBDQZMQ3LW6kofZkYug2kLjDeiWW6ewUFAAMsB1S,46NAjBDQZMQ3LW6kofZkYug2kLjDeiWW6ewUFAAMsB1S,MNGO
1636,3006.377377,USDC,USDC,2022-02-11T11:01:14Z,G4J88ixWnKsKmaR3YQ9c7kM9u7tP8wB1QKkhiRcinzNJ,G4J88ixWnKsKmaR3YQ9c7kM9u7tP8wB1QKkhiRcinzNJ,ETH
1637,140.579632,USDC,USDC,2022-02-11T11:46:14Z,DYmSowEG5dVNthLg4577BQWnwMhF51EAA5G4Gi3qQPQm,DYmSowEG5dVNthLg4577BQWnwMhF51EAA5G4Gi3qQPQm,SOL
1638,120.827128,USDC,USDC,2022-02-11T12:19:21Z,FkjbkmR4ZU9tPJkGF4EkPRMxqZmBmCNNt6wkqhS1QecY,FkjbkmR4ZU9tPJkGF4EkPRMxqZmBmCNNt6wkqhS1QecY,SOL
1639,2347.977314,USDC,USDC,2022-02-11T13:02:45Z,FywEDBbgurXUTcYUdp4MMWq2EiuGndbFLoC9rfCfcBDs,FywEDBbgurXUTcYUdp4MMWq2EiuGndbFLoC9rfCfcBDs,SOL
1640,941.3428,USDC,USDC,2022-02-11T13:16:48Z,GXgjq3AxVturG3stjdFYNfnSnX3jE85u54UybGRAW3kW,GXgjq3AxVturG3stjdFYNfnSnX3jE85u54UybGRAW3kW,SOL
1641,238.124416,USDC,USDC,2022-02-11T13:24:59Z,E8WFgeig2pkHXbsij2J3AHbdTt7QyWeQLmrVnfbMwwfd,E8WFgeig2pkHXbsij2J3AHbdTt7QyWeQLmrVnfbMwwfd,SOL
1642,92.448303,USDC,USDC,2022-02-11T13:27:38Z,CAvzype5N3WsgZUT1bkTdiGFGEtDpw2X2PZjqYJqtvJR,CAvzype5N3WsgZUT1bkTdiGFGEtDpw2X2PZjqYJqtvJR,SOL
1643,1005.557223,USDC,USDC,2022-02-11T13:55:35Z,fmSW3b1UYjgCxufiqeurygvkRJZ1KYHUJ7MvJCa5pG7,fmSW3b1UYjgCxufiqeurygvkRJZ1KYHUJ7MvJCa5pG7,SOL
1644,19287.330829,USDC,USDC,2022-02-11T14:20:37Z,HZddCPwW7298zwoJ7RhT8ePD2Lq442VsVTq934QkEDdo,HZddCPwW7298zwoJ7RhT8ePD2Lq442VsVTq934QkEDdo,SOL
