,asset,usd,epoch,amount,amt_usd
112,MNGO,0.150336,Epoch 9 - 2022-02-11,331159.24978199997,49785.156975226746
113,MNGO,0.150336,Epoch 10 - 2022-02-18,201852.78262500002,30345.739928712002
114,MNGO,0.150336,Epoch 11 - 2022-02-25,710962.279374,106883.22523196967
115,MNGO,0.150336,Epoch 12 - 2022-03-04,393294.587813,59126.33515345517
116,MNGO,0.150336,Epoch 13 - 2022-03-11,7459.493067,1121.4303497205121
117,SBR,0.03151694,Epoch 2 - 2021-12-24,411418.998496,12966.667890458522
118,SBR,0.03151694,Epoch 5 - 2022-01-14,5404769.891023,170341.8083691784
119,SBR,0.03151694,Epoch 6 - 2022-01-21,10511515.836722,331290.81393501704
120,SBR,0.03151694,Epoch 7 - 2022-01-28,3544514.290001,111712.24420710412
121,SBR,0.03151694,Epoch 8 - 2022-02-04,1579072.593519,49767.536185582714
122,SBR,0.03151694,Epoch 9 - 2022-02-11,2209938.25001,69650.49122927018
123,SBR,0.03151694,Epoch 10 - 2022-02-18,1994866.443162,62872.08599715016
124,SBR,0.03151694,Epoch 11 - 2022-02-25,836627.723993,26367.945779423942
125,SBR,0.03151694,Epoch 12 - 2022-03-04,2391854.600323,75383.93792710397
126,SBR,0.03151694,Epoch 13 - 2022-03-11,35141.128354,1107.5408338653167
